Id,Text,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer,CategoryId,PassageId
220,"<p style=""text-align: right; "">الكلمة غير المنسجمة مع سائر الكلمات التي بين أقواس هي في<br></p>",موعدنا في (الساعة) الثامنة مساءً,تبدأ المحاضرة في (الساعة) العاشرة,اشتريتُ (الساعة) قبل سنتين,(الساعة) الأخيرة من العمل مُتعبةٌ,2,4,
221,"<p style=""text-align: right; "">الكلمة غير المنسجمة مع سائر الكلمات التي بين أقواس هي في<br></p>",دول (المغرب) العربي خمسةٌ,صلّينا المغرب جماعةً,زرتُ دولة المغرب في الصيف,الرباط عاصمة (المغرب),1,4,
222,"<p style=""text-align: right; "">الكلمة المناسبة دلاليّاً لملء الفراغ في عبارة: ""ينبغي للقائمين على إدارة الشركة ............. المستقبل لتعزيز مكانتها التجارية""<br></p>",استحضار,استشراف,استلهام,استنهاض,1,4,
224,"<p style=""text-align: right; "">الكلمة المناسبة إملائياً لملء الفراغ في عبارة: ""إن صَعُبَتْ عليك الدراسة فـ ............ بالنجاح""<br></p>",تفاأل,تفاؤل,تفائل,تفاءَل,3,4,
225,"<p style=""text-align: right; "">علامة الترقيم المناسبة في موضع النجمة في عبارة: فاز فريقنا في المبارة النهائية * إذ كان لاعبوه مستعدّين جيداً<br></p>",،,:,؛,-,2,4,
653,<p>الكلمة غير المنسجمة مع سائر الكلمات التي بين أقواس هي في:</p>,هذه السكّين ليست (حادَّة) بما يكفي,حامد (حادُّ) الطبع، صعب المراس,عاد أخي من دراسته وقد أصبح بصره (حديداً),حمدان لا يعتمد عليه لأنه (محدود) الأفق,3,4,
654,<p>الكلمة غير المنسجمة مع سائر الكلمات التي بين أقواس هي في:</p>,عبارتُك يا أخي حمّالة (أوجهٍ),بلغ الحماس عند الحاضرين (أوْجَه),لقد أخطأتُ فعلاً، فبماذا (توجّه)؟,هذه مسألة لها (وجهان) في الأقل,1,4,
655,"<p>الكلمة المناسبة دلاليّا لتكملة الفراغ في عبارة: ""ابتعد عن ............. لأنه يسدل على صفاء النيِّة حجاباً كثيفاً"":</p>",الهُدى,المدى,النُّهى,الهوى,1,4,
656,"<p>الكلمة المناسبة دلاليّاً لتكملة الفراغ في عبارة: ""لست أعلم سبباً واحداً يجعله يكنُّ لي .................."":</p>",الاستخفاف,الضغينة,التودُّد,الخشونة,1,4,
657,<p>يقولون: الكرة الآن في ملعب المفاوض الأمريكيّ. وهذا يعني أنَّ الجانب الأمريكي:</p>,أصبح في موقف ضعيف,صارَ في موقف أقوى,كسب المفاوضات,مُطالَب بالردّ على المقترحات,3,4,
